URL,creator_name,total_post,patreon_number,income_per_month,tier_post_data,post_year_count,tier_count,total_likes,total_comments,total_links,facebook,twitter,instagram,youtube,twitch,tiktok,discord,social_link_count,text_posts,image_posts,video_posts,podcast_posts,audio_posts,link_posts,poll_posts,livestream_posts,other_posts,unknown,public_likes,public_comments,locked_likes,locked_comments,total_likes_combined,total_comments_combined,free_chat_count,paid_chat_count,about_word_count
https://www.patreon.com/patronizer,Patronizer,13.0,221.0,0,"{'public': 11, 'apothecary': 1, 'wizard': 1}","{'2024': 2, '2018': 3, '2017': 8}",3,0,0,0,no,no,no,no,no,no,no,0,6,5,1,0,0,0,1,0,0,0,23,29,1,3,24,32,0,0,454
https://www.patreon.com/hexatail,Hexatail,206.0,4852.0,0,"{'public': 23, 'student': 71, 'teacher': 113, 'superstar': 122, 'agent': 129}","{'2025': 14, '2024': 42, '2023': 47, '2022': 38, '2021': 61, '2020': 5}",5,0,0,0,no,no,no,no,no,no,no,0,32,124,0,0,0,0,50,0,0,0,1065,312,2634,1628,3699,1940,0,0,270
https://www.patreon.com/basicallyunfiltered,Basically Unfiltered,93.0,0,0,"{'free_members': 5, 'so_good': 7, 'so_f*ckin_good': 46}","{'2025': 32, '2024': 61}",3,0,0,1,no,no,no,yes,no,no,no,1,7,15,68,0,0,0,1,0,1,0,0,0,2493,9398,2493,9398,2,0,4
https://www.patreon.com/MarketMaestro,MarketMaestro,9087.0,747.0,0,"{'public': 61, 'free_members': 833, 'batcave': 5621, 'bat-signal': 1798}","{'2025': 2173, '2024': 6914}",4,0,0,0,no,no,no,no,no,no,no,0,3017,6066,3,0,0,0,0,0,1,0,0,0,294,116,294,116,1,0,99
https://www.patreon.com/DayTradingRadio,Day Trading Radio,71.0,341.0,0,"{'public': 32, 'free_members': 10, 'supporter': 2, 'futures_trade_alerts,_discord_plus': 15, 'rockbot_scripts_nt8_and_tradingview': 14, 'daytradingradio_monthly_membership': 15}","{'2025': 4, '2024': 60, '2023': 7}",6,0,0,6,yes,yes,yes,yes,yes,yes,no,6,44,2,25,0,0,0,0,0,0,0,23,7,52,64,75,71,0,0,464
https://www.patreon.com/githubcurator,MaoYang,2009.0,133.0,0,"{'public': 71, 'free_members': 10, '早鳥訂閱會員': 1}","{'2025': 28, '2024': 294, '2023': 717, '2022': 853, '2021': 117}",3,0,0,2,no,no,no,no,no,no,no,0,2009,0,0,0,0,0,0,0,0,0,1,0,19,1,20,1,0,0,90
https://www.patreon.com/tomnash,Tom Nash,1376.0,16619.0,0,"{'public': 132, 'free_members': 14, 'basic_investing_plus': 5, 'roic_academy': 193, 'roic_academy_elite': 222, '1_on_1_live_w/_tom': 274}","{'2025': 217, '2024': 337, '2023': 157, '2022': 325, '2021': 318, '2020': 22}",6,0,0,2,no,yes,yes,no,no,no,no,2,966,60,162,0,0,0,4,0,184,0,233,20,106,21,339,41,1,0,63
https://www.patreon.com/patientinvestor,Patient Investor,138.0,1889.0,0,{'free_members': 14},"{'2025': 21, '2024': 64, '2023': 31, '2022': 22}",1,0,0,1,no,yes,no,no,no,no,no,1,4,12,36,0,0,0,0,0,82,0,0,0,741,106,741,106,0,0,57
https://www.patreon.com/bullmarketwatch,BULL MARKET WATCH,3664.0,4077.0,0,"{'public': 43, 'free_members': 2, 'stock_buy_recommendations': 2451, 'powerful_day_trades/swing_trades_🚀': 1983, 'quality_long_term_growth': 372}","{'2025': 151, '2024': 476, '2023': 1109, '2022': 1641, '2021': 287}",5,0,0,2,no,yes,no,yes,no,no,no,2,2545,885,206,0,0,0,5,0,23,0,1,1,37,37,38,38,1,0,91
https://www.patreon.com/Dreamgreenshow,Dream Green Show,6.0,435.0,0,"{'lucid_dreamers': 4, 'the_dream_team': 3}","{'2024': 3, '2021': 3}",2,0,0,0,no,no,no,no,no,no,no,0,1,0,2,0,0,0,0,0,3,0,0,0,54,52,54,52,0,0,82
https://www.patreon.com/northernsiberiawinds,northern siberia winds,124.0,208593.0,0,"{'public': 78, 'free_members': 9, 'supporter': 27, 'сheesecake': 27}","{'2025': 3, '2024': 23, '2023': 27, '2022': 23, '2021': 16, '2020': 32}",4,0,0,5,no,yes,no,no,no,no,no,1,4,107,1,0,0,0,12,0,0,0,2588,1429,3351,1005,5939,2434,0,0,119
https://www.patreon.com/basemental,Basemental,279.0,86639.0,0,"{'public': 26, 'free_members': 2, 'silver': 177, 'gold': 124}","{'2025': 8, '2024': 20, '2023': 16, '2022': 20, '2021': 23, '2020': 41, '2019': 52, '2018': 57, '2017': 42}",4,0,0,4,no,yes,no,no,no,no,no,1,42,219,0,0,0,0,18,0,0,0,0,0,108,11,108,11,0,0,316
https://www.patreon.com/llazyneiph,llazyneiph,274.0,22834.0,0,"{'public': 211, 'free_members': 2, 'royal_partner': 1, 'monarch': 2}","{'2025': 7, '2024': 79, '2023': 23, '2022': 47, '2021': 51, '2020': 41, '2019': 26}",4,0,0,1,no,yes,no,no,no,no,yes,2,121,91,46,0,0,0,9,0,7,0,1753,35,34,0,1787,35,0,0,75
https://www.patreon.com/edpratt,Ed Pratt,126.0,3662.0,0,"{'early_access_(+_exclusive_videos)': 75, 'on-screen_credit_(+_exclusive_videos)': 75, 'name_on_kayak_(top)_+_exclusive_videos': 75}","{'2025': 7, '2024': 25, '2023': 24, '2022': 17, '2021': 14, '2020': 28, '2019': 11}",3,0,0,1,no,no,yes,no,no,no,no,1,7,21,90,0,0,0,0,0,8,0,0,0,1324,611,1324,611,0,0,319
https://www.patreon.com/flydancefitness,Fly Dance Fitness,2620.0,2669.0,0,"{'public': 6, 'free_members': 1, 'fly_dance_fitness_virtual_classes': 1516, 'throw_down_virtual_classes_+_tutorials': 1571}","{'2025': 207, '2024': 671, '2023': 522, '2022': 349, '2021': 392, '2020': 479}",4,0,0,2,no,no,yes,yes,no,no,no,2,25,3,1124,0,0,0,1,0,1466,0,0,0,91,38,91,38,0,0,253
https://www.patreon.com/HunterPie,Haato,22.0,1500.0,0,"{'public': 4, 'free_members': 1, 'low_rank': 1, 'high_rank': 1, 'tempered': 1, 'arch_tempered': 1}","{'2025': 1, '2024': 2, '2023': 4, '2022': 7, '2021': 2, '2020': 6}",6,0,0,0,no,no,no,no,no,no,no,0,13,7,2,0,0,0,0,0,0,0,55,0,48,5,103,5,0,0,19
https://www.patreon.com/osprimos,OS PRIMOS,591.0,20709.0,0,"{'primaços': 7, 'na_via_(coliseu)': 6}","{'2025': 32, '2024': 102, '2023': 105, '2022': 112, '2021': 139, '2020': 101}",2,0,0,2,no,yes,yes,no,no,no,no,2,0,123,364,0,0,0,0,0,101,0,0,0,8865,1349,8865,1349,1,0,35
https://www.patreon.com/gpx,George Perez,88.0,0,0,{'diamond': 15},"{'2023': 4, '2022': 14, '2021': 48, '2020': 22}",1,0,0,2,no,yes,yes,no,no,no,no,2,69,0,0,0,0,0,2,0,17,0,0,0,799,1012,799,1012,0,0,79
